P369,[0-30],[0-48],[0-40],[0-43],[0-40],[0-42],[0-47],[0-43],[0-35],[0-38],[0-47],[0-37],[0-40],[0-42],[0-42],[0-42],[0-43],[0-42],[0-34],[0-47],[0-38],[1-33],[0-37],[0-39],[0-32],[0-31],[0-27],[0-30],[0-30],[0-25],[0-32],[0-38],[0-35],[0-37],[0-31],[0-34],[0-34],[0-32],[0-41],[0-42],[0-37],[0-36],[0-28],[0-30],[0-31],[0-39],[0-37],[0-31],[0-46],aaaaa,Group 0
P469,[0-30],[0-48],[0-40],[0-43],[0-40],[0-42],[0-47],[0-43],[0-35],[0-38],[0-47],[0-37],[0-40],[0-42],[0-42],[0-42],[0-43],[0-42],[0-34],[0-47],[0-38],[1-33],[0-37],[0-39],[0-32],[0-31],[0-27],[0-30],[0-30],[0-25],[0-32],[0-38],[0-35],[0-37],[0-31],[0-34],[0-34],[0-32],[0-41],[0-42],[0-37],[0-36],[0-28],[0-30],[0-31],[0-39],[0-37],[0-31],[0-46],aaaaa,Group 0
P142,[0-30],[0-48],[0-40],[0-43],[0-40],[0-42],[0-47],[0-43],[0-35],[0-38],[0-47],[0-37],[0-40],[0-42],[0-42],[0-42],[0-43],[0-42],[0-34],[0-47],[0-38],[1-33],[0-37],[0-39],[0-32],[0-31],[0-27],[0-30],[0-30],[0-25],[0-32],[0-38],[0-35],[0-37],[0-31],[0-34],[0-34],[0-32],[0-41],[0-42],[0-37],[0-36],[0-28],[0-30],[0-31],[0-39],[0-37],[0-31],[0-46],aaaaa,Group 0
P212,[0-30],[0-48],[0-40],[0-43],[0-40],[0-42],[0-47],[0-43],[0-35],[0-38],[0-47],[0-37],[0-40],[0-42],[0-42],[0-42],[0-43],[0-42],[0-34],[0-47],[0-38],[1-33],[0-37],[0-39],[0-32],[0-31],[0-27],[0-30],[0-30],[0-25],[0-32],[0-38],[0-35],[0-37],[0-31],[0-34],[0-34],[0-32],[0-41],[0-42],[0-37],[0-36],[0-28],[0-30],[0-31],[0-39],[0-37],[0-31],[0-46],aaaaa,Group 0
P133,[0-30],[0-48],[0-40],[0-43],[0-40],[0-42],[0-47],[0-43],[0-35],[0-38],[0-47],[0-37],[0-40],[0-42],[0-42],[0-42],[0-43],[0-42],[0-34],[0-47],[0-38],[1-33],[0-37],[0-39],[0-32],[0-31],[0-27],[0-30],[0-30],[0-25],[0-32],[0-38],[0-35],[0-37],[0-31],[0-34],[0-34],[0-32],[0-41],[0-42],[0-37],[0-36],[0-28],[0-30],[0-31],[0-39],[0-37],[0-31],[0-46],aaaaa,Group 0
P447,[0-31],[0-36],[0-41],[0-46],[0-36],[0-38],[0-38],[0-62],[0-39],[0-39],[0-38],[0-39],[1-45],[0-36],[0-35],[1-44],[0-52],[0-31],[0-38],[0-50],[0-38],[0-31],[0-41],[0-37],[2-34],[1-29],[0-27],[0-26],[0-36],[0-34],[0-47],[0-37],[0-33],[0-39],[1-33],[0-38],[0-31],[0-34],[0-38],[0-43],[1-34],[1-39],[0-28],[0-34],[1-37],[1-42],[0-35],[1-35],[0-35],aaaaa,Group 1
P621,[0-31],[0-36],[0-41],[0-46],[0-36],[0-38],[0-38],[0-62],[0-39],[0-39],[0-38],[0-39],[1-45],[0-36],[0-35],[1-44],[0-52],[0-31],[0-38],[0-50],[0-38],[0-31],[0-41],[0-37],[2-34],[1-29],[0-27],[0-26],[0-36],[0-34],[0-47],[0-37],[0-33],[0-39],[1-33],[0-38],[0-31],[0-34],[0-38],[0-43],[1-34],[1-39],[0-28],[0-34],[1-37],[1-42],[0-35],[1-35],[0-35],aaaaa,Group 1
P628,[0-31],[0-36],[0-41],[0-46],[0-36],[0-38],[0-38],[0-62],[0-39],[0-39],[0-38],[0-39],[1-45],[0-36],[0-35],[1-44],[0-52],[0-31],[0-38],[0-50],[0-38],[0-31],[0-41],[0-37],[2-34],[1-29],[0-27],[0-26],[0-36],[0-34],[0-47],[0-37],[0-33],[0-39],[1-33],[0-38],[0-31],[0-34],[0-38],[0-43],[1-34],[1-39],[0-28],[0-34],[1-37],[1-42],[0-35],[1-35],[0-35],aaaaa,Group 1
P140,[0-31],[0-36],[0-41],[0-46],[0-36],[0-38],[0-38],[0-62],[0-39],[0-39],[0-38],[0-39],[1-45],[0-36],[0-35],[1-44],[0-52],[0-31],[0-38],[0-50],[0-38],[0-31],[0-41],[0-37],[2-34],[1-29],[0-27],[0-26],[0-36],[0-34],[0-47],[0-37],[0-33],[0-39],[1-33],[0-38],[0-31],[0-34],[0-38],[0-43],[1-34],[1-39],[0-28],[0-34],[1-37],[1-42],[0-35],[1-35],[0-35],aaaaa,Group 1
P20,[0-31],[0-36],[0-41],[0-46],[0-36],[0-38],[0-38],[0-62],[0-39],[0-39],[0-38],[0-39],[1-45],[0-36],[0-35],[1-44],[0-52],[0-31],[0-38],[0-50],[0-38],[0-31],[0-41],[0-37],[2-34],[1-29],[0-27],[0-26],[0-36],[0-34],[0-47],[0-37],[0-33],[0-39],[1-33],[0-38],[0-31],[0-34],[0-38],[0-43],[1-34],[1-39],[0-28],[0-34],[1-37],[1-42],[0-35],[1-35],[0-35],aaaaa,Group 1
