P794,[0-2],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-4],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-0],[0-2],[0-0],[0-1],[0-1],[0-0],[0-1],[0-5],[0-2],[0-1],[0-0],[1-2],aaaaa,Group 0
P770,[0-2],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-4],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-0],[0-2],[0-0],[0-1],[0-1],[0-0],[0-1],[0-5],[0-2],[0-1],[0-0],[1-2],aaaaa,Group 0
P420,[0-2],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-4],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-0],[0-2],[0-0],[0-1],[0-1],[0-0],[0-1],[0-5],[0-2],[0-1],[0-0],[1-2],aaaaa,Group 0
P776,[0-2],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-4],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-1],[0-1],[0-1],[0-0],[0-2],[0-0],[0-1],[0-1],[0-0],[0-1],[0-5],[0-2],[0-1],[0-0],[1-2],aaaaa,Group 0
P779,[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-2],[0-1],[0-1],[0-3],[0-2],[0-0],[0-1],[0-1],[0-1],[0-2],[0-1],[0-2],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-3],[0-0],[0-0],[0-1],[0-2],[0-2],[0-2],[0-1],[0-2],[0-0],[0-2],aabab,Group 1
P771,[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-2],[0-1],[0-1],[0-3],[0-2],[0-0],[0-1],[0-1],[0-1],[0-2],[0-1],[0-2],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-3],[0-0],[0-0],[0-1],[0-2],[0-2],[0-2],[0-1],[0-2],[0-0],[0-2],abaab,Group 1
P728,[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-2],[0-1],[0-1],[0-3],[0-2],[0-0],[0-1],[0-1],[0-1],[0-2],[0-1],[0-2],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-3],[0-0],[0-0],[0-1],[0-2],[0-2],[0-2],[0-1],[0-2],[0-0],[0-2],aabbb,Group 1
P226,[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-2],[0-1],[0-1],[0-3],[0-2],[0-0],[0-1],[0-1],[0-1],[0-2],[0-1],[0-2],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-3],[0-0],[0-0],[0-1],[0-2],[0-2],[0-2],[0-1],[0-2],[0-0],[0-2],aabab,Group 1
P759,[0-3],[0-1],[0-5],[0-2],[0-2],[0-4],[0-3],[0-4],[0-0],[0-4],[0-2],[0-1],[0-2],[0-3],[0-3],[0-3],[0-3],[0-2],[0-2],[0-2],[0-4],[0-4],[0-4],[0-4],[0-8],[0-4],[0-1],[0-1],[0-2],[0-2],[0-3],[0-2],[0-4],[0-4],[0-4],[0-4],[0-3],[0-2],[0-1],[0-1],[0-2],[0-3],[0-2],[0-7],[0-5],[0-5],[0-3],[0-1],[0-4],aaaab,Group 2
P346,[0-3],[0-1],[0-5],[0-2],[0-2],[0-4],[0-3],[0-4],[0-0],[0-4],[0-2],[0-1],[0-2],[0-3],[0-3],[0-3],[0-3],[0-2],[0-2],[0-2],[0-4],[0-4],[0-4],[0-4],[0-8],[0-4],[0-1],[0-1],[0-2],[0-2],[0-3],[0-2],[0-4],[0-4],[0-4],[0-4],[0-3],[0-2],[0-1],[0-1],[0-2],[0-3],[0-2],[0-7],[0-5],[0-5],[0-3],[0-1],[0-4],aabba,Group 2
