Big_zh.wikipedia.org_all-access_spider,[0.0-3.0],[0.0-53.0],[0.0-11.0],[0.0-3.0],[0.0-4.0],[0.0-4.0],[0.0-11.0],[0.0-9.0],[0.0-5.0],[0.0-16.0],[0.0-19.0],[0.0-3.0],[0.0-11.0],[0.0-14.0],[0.0-14.0],[0.0-8.0],[0.0-14.0],[0.0-4.0],[0.0-5.0],[0.0-33.0],[0.0-8.0],[0.0-8.0],[0.0-14.0],[0.0-6.0],[0.0-6.0],[0.0-4.0],[0.0-7.0],[0.0-6.0],[0.0-7.0],[0.0-5.0],[0.0-4.0],[0.0-5.0],[0.0-7.0],[0.0-5.0],[0.0-6.0],[0.0-8.0],[0.0-8.0],[0.0-32.0],[0.0-3.0],[0.0-5.0],[0.0-4.0],[0.0-6.0],[0.0-3.0],[0.0-9.0],[0.0-11.0],[0.0-11.0],[0.0-3.0],[0.0-9.0],[0.0-8.0],[0.0-4.0],[0.0-5.0],[0.0-6.0],[0.0-7.0],[0.0-4.0],[0.0-4.0],[0.0-3.0],[0.0-5.0],[0.0-7.0],[0.0-5.0],[0.0-5.0],[0.0-6.0],[0.0-4.0],[0.0-2.0],[0.0-7.0],[0.0-6.0],[0.0-4.0],[0.0-11.0],[0.0-8.0],[0.0-8.0],[0.0-7.0],[0.0-9.0],[0.0-6.0],[0.0-8.0],[0.0-9.0],[0.0-10.0],[0.0-5.0],[0.0-11.0],[0.0-10.0],[0.0-8.0],[0.0-4.0],[0.0-6.0],[0.0-12.0],[0.0-8.0],[0.0-9.0],[0.0-11.0],[0.0-18.0],[0.0-22.0],[0.0-27.0],[0.0-24.0],[0.0-11.0],[0.0-19.0],[0.0-3.0],[0.0-27.0],[0.0-20.0],[0.0-6.0],[0.0-11.0],[0.0-6.0],[0.0-8.0],[0.0-11.0],aaaaa,Group 0
史莱姆_zh.wikipedia.org_all-access_spider,[0.0-3.0],[0.0-53.0],[0.0-11.0],[0.0-3.0],[0.0-4.0],[0.0-4.0],[0.0-11.0],[0.0-9.0],[0.0-5.0],[0.0-16.0],[0.0-19.0],[0.0-3.0],[0.0-11.0],[0.0-14.0],[0.0-14.0],[0.0-8.0],[0.0-14.0],[0.0-4.0],[0.0-5.0],[0.0-33.0],[0.0-8.0],[0.0-8.0],[0.0-14.0],[0.0-6.0],[0.0-6.0],[0.0-4.0],[0.0-7.0],[0.0-6.0],[0.0-7.0],[0.0-5.0],[0.0-4.0],[0.0-5.0],[0.0-7.0],[0.0-5.0],[0.0-6.0],[0.0-8.0],[0.0-8.0],[0.0-32.0],[0.0-3.0],[0.0-5.0],[0.0-4.0],[0.0-6.0],[0.0-3.0],[0.0-9.0],[0.0-11.0],[0.0-11.0],[0.0-3.0],[0.0-9.0],[0.0-8.0],[0.0-4.0],[0.0-5.0],[0.0-6.0],[0.0-7.0],[0.0-4.0],[0.0-4.0],[0.0-3.0],[0.0-5.0],[0.0-7.0],[0.0-5.0],[0.0-5.0],[0.0-6.0],[0.0-4.0],[0.0-2.0],[0.0-7.0],[0.0-6.0],[0.0-4.0],[0.0-11.0],[0.0-8.0],[0.0-8.0],[0.0-7.0],[0.0-9.0],[0.0-6.0],[0.0-8.0],[0.0-9.0],[0.0-10.0],[0.0-5.0],[0.0-11.0],[0.0-10.0],[0.0-8.0],[0.0-4.0],[0.0-6.0],[0.0-12.0],[0.0-8.0],[0.0-9.0],[0.0-11.0],[0.0-18.0],[0.0-22.0],[0.0-27.0],[0.0-24.0],[0.0-11.0],[0.0-19.0],[0.0-3.0],[0.0-27.0],[0.0-20.0],[0.0-6.0],[0.0-11.0],[0.0-6.0],[0.0-8.0],[0.0-11.0],aaaaa,Group 0
LoveLive!_Sunshine!!_zh.wikipedia.org_all-access_spider,[0.0-3.0],[0.0-53.0],[0.0-11.0],[0.0-3.0],[0.0-4.0],[0.0-4.0],[0.0-11.0],[0.0-9.0],[0.0-5.0],[0.0-16.0],[0.0-19.0],[0.0-3.0],[0.0-11.0],[0.0-14.0],[0.0-14.0],[0.0-8.0],[0.0-14.0],[0.0-4.0],[0.0-5.0],[0.0-33.0],[0.0-8.0],[0.0-8.0],[0.0-14.0],[0.0-6.0],[0.0-6.0],[0.0-4.0],[0.0-7.0],[0.0-6.0],[0.0-7.0],[0.0-5.0],[0.0-4.0],[0.0-5.0],[0.0-7.0],[0.0-5.0],[0.0-6.0],[0.0-8.0],[0.0-8.0],[0.0-32.0],[0.0-3.0],[0.0-5.0],[0.0-4.0],[0.0-6.0],[0.0-3.0],[0.0-9.0],[0.0-11.0],[0.0-11.0],[0.0-3.0],[0.0-9.0],[0.0-8.0],[0.0-4.0],[0.0-5.0],[0.0-6.0],[0.0-7.0],[0.0-4.0],[0.0-4.0],[0.0-3.0],[0.0-5.0],[0.0-7.0],[0.0-5.0],[0.0-5.0],[0.0-6.0],[0.0-4.0],[0.0-2.0],[0.0-7.0],[0.0-6.0],[0.0-4.0],[0.0-11.0],[0.0-8.0],[0.0-8.0],[0.0-7.0],[0.0-9.0],[0.0-6.0],[0.0-8.0],[0.0-9.0],[0.0-10.0],[0.0-5.0],[0.0-11.0],[0.0-10.0],[0.0-8.0],[0.0-4.0],[0.0-6.0],[0.0-12.0],[0.0-8.0],[0.0-9.0],[0.0-11.0],[0.0-18.0],[0.0-22.0],[0.0-27.0],[0.0-24.0],[0.0-11.0],[0.0-19.0],[0.0-3.0],[0.0-27.0],[0.0-20.0],[0.0-6.0],[0.0-11.0],[0.0-6.0],[0.0-8.0],[0.0-11.0],aaaaa,Group 0
瑯琊榜_(小说)_zh.wikipedia.org_all-access_spider,[0.0-3.0],[0.0-53.0],[0.0-11.0],[0.0-3.0],[0.0-4.0],[0.0-4.0],[0.0-11.0],[0.0-9.0],[0.0-5.0],[0.0-16.0],[0.0-19.0],[0.0-3.0],[0.0-11.0],[0.0-14.0],[0.0-14.0],[0.0-8.0],[0.0-14.0],[0.0-4.0],[0.0-5.0],[0.0-33.0],[0.0-8.0],[0.0-8.0],[0.0-14.0],[0.0-6.0],[0.0-6.0],[0.0-4.0],[0.0-7.0],[0.0-6.0],[0.0-7.0],[0.0-5.0],[0.0-4.0],[0.0-5.0],[0.0-7.0],[0.0-5.0],[0.0-6.0],[0.0-8.0],[0.0-8.0],[0.0-32.0],[0.0-3.0],[0.0-5.0],[0.0-4.0],[0.0-6.0],[0.0-3.0],[0.0-9.0],[0.0-11.0],[0.0-11.0],[0.0-3.0],[0.0-9.0],[0.0-8.0],[0.0-4.0],[0.0-5.0],[0.0-6.0],[0.0-7.0],[0.0-4.0],[0.0-4.0],[0.0-3.0],[0.0-5.0],[0.0-7.0],[0.0-5.0],[0.0-5.0],[0.0-6.0],[0.0-4.0],[0.0-2.0],[0.0-7.0],[0.0-6.0],[0.0-4.0],[0.0-11.0],[0.0-8.0],[0.0-8.0],[0.0-7.0],[0.0-9.0],[0.0-6.0],[0.0-8.0],[0.0-9.0],[0.0-10.0],[0.0-5.0],[0.0-11.0],[0.0-10.0],[0.0-8.0],[0.0-4.0],[0.0-6.0],[0.0-12.0],[0.0-8.0],[0.0-9.0],[0.0-11.0],[0.0-18.0],[0.0-22.0],[0.0-27.0],[0.0-24.0],[0.0-11.0],[0.0-19.0],[0.0-3.0],[0.0-27.0],[0.0-20.0],[0.0-6.0],[0.0-11.0],[0.0-6.0],[0.0-8.0],[0.0-11.0],aaaaa,Group 0
帕金森氏症_zh.wikipedia.org_all-access_spider,[7.0-15.0],[4.0-11.0],[3.0-11.0],[2.0-21.0],[5.0-11.0],[2.0-8.0],[5.0-17.0],[8.0-64.0],[3.0-14.0],[4.0-11.0],[0.0-8.0],[4.0-14.0],[5.0-24.0],[8.0-17.0],[4.0-22.0],[5.0-16.0],[4.0-10.0],[1.0-14.0],[4.0-9.0],[1.0-18.0],[6.0-12.0],[10.0-19.0],[6.0-15.0],[2.0-6.0],[2.0-15.0],[1.0-5.0],[1.0-8.0],[1.0-18.0],[3.0-15.0],[1.0-38.0],[2.0-12.0],[2.0-14.0],[1.0-10.0],[3.0-10.0],[5.0-8.0],[1.0-10.0],[3.0-11.0],[3.0-23.0],[1.0-5.0],[2.0-8.0],[3.0-3.0],[2.0-9.0],[2.0-9.0],[5.0-8.0],[1.0-5.0],[1.0-5.0],[4.0-14.0],[4.0-12.0],[3.0-10.0],[2.0-6.0],[1.0-6.0],[3.0-9.0],[1.0-8.0],[0.0-16.0],[1.0-8.0],[5.0-6.0],[1.0-10.0],[3.0-5.0],[3.0-6.0],[1.0-11.0],[1.0-8.0],[1.0-4.0],[3.0-4.0],[5.0-9.0],[3.0-30.0],[2.0-7.0],[3.0-7.0],[3.0-11.0],[5.0-12.0],[0.0-13.0],[5.0-9.0],[3.0-8.0],[4.0-9.0],[3.0-9.0],[1.0-9.0],[3.0-7.0],[3.0-8.0],[0.0-8.0],[3.0-7.0],[4.0-14.0],[4.0-13.0],[4.0-10.0],[3.0-9.0],[8.0-11.0],[5.0-14.0],[8.0-12.0],[8.0-10.0],[4.0-14.0],[3.0-16.0],[4.0-15.0],[8.0-14.0],[0.0-14.0],[4.0-14.0],[2.0-13.0],[6.0-15.0],[5.0-15.0],[1.0-13.0],[4.0-9.0],[2.0-6.0],bbbbc,Group 1
灌篮高手_zh.wikipedia.org_all-access_spider,[7.0-15.0],[4.0-11.0],[3.0-11.0],[2.0-21.0],[5.0-11.0],[2.0-8.0],[5.0-17.0],[8.0-64.0],[3.0-14.0],[4.0-11.0],[0.0-8.0],[4.0-14.0],[5.0-24.0],[8.0-17.0],[4.0-22.0],[5.0-16.0],[4.0-10.0],[1.0-14.0],[4.0-9.0],[1.0-18.0],[6.0-12.0],[10.0-19.0],[6.0-15.0],[2.0-6.0],[2.0-15.0],[1.0-5.0],[1.0-8.0],[1.0-18.0],[3.0-15.0],[1.0-38.0],[2.0-12.0],[2.0-14.0],[1.0-10.0],[3.0-10.0],[5.0-8.0],[1.0-10.0],[3.0-11.0],[3.0-23.0],[1.0-5.0],[2.0-8.0],[3.0-3.0],[2.0-9.0],[2.0-9.0],[5.0-8.0],[1.0-5.0],[1.0-5.0],[4.0-14.0],[4.0-12.0],[3.0-10.0],[2.0-6.0],[1.0-6.0],[3.0-9.0],[1.0-8.0],[0.0-16.0],[1.0-8.0],[5.0-6.0],[1.0-10.0],[3.0-5.0],[3.0-6.0],[1.0-11.0],[1.0-8.0],[1.0-4.0],[3.0-4.0],[5.0-9.0],[3.0-30.0],[2.0-7.0],[3.0-7.0],[3.0-11.0],[5.0-12.0],[0.0-13.0],[5.0-9.0],[3.0-8.0],[4.0-9.0],[3.0-9.0],[1.0-9.0],[3.0-7.0],[3.0-8.0],[0.0-8.0],[3.0-7.0],[4.0-14.0],[4.0-13.0],[4.0-10.0],[3.0-9.0],[8.0-11.0],[5.0-14.0],[8.0-12.0],[8.0-10.0],[4.0-14.0],[3.0-16.0],[4.0-15.0],[8.0-14.0],[0.0-14.0],[4.0-14.0],[2.0-13.0],[6.0-15.0],[5.0-15.0],[1.0-13.0],[4.0-9.0],[2.0-6.0],bbbbc,Group 1
庭沼珉_zh.wikipedia.org_all-access_spider,[7.0-15.0],[4.0-11.0],[3.0-11.0],[2.0-21.0],[5.0-11.0],[2.0-8.0],[5.0-17.0],[8.0-64.0],[3.0-14.0],[4.0-11.0],[0.0-8.0],[4.0-14.0],[5.0-24.0],[8.0-17.0],[4.0-22.0],[5.0-16.0],[4.0-10.0],[1.0-14.0],[4.0-9.0],[1.0-18.0],[6.0-12.0],[10.0-19.0],[6.0-15.0],[2.0-6.0],[2.0-15.0],[1.0-5.0],[1.0-8.0],[1.0-18.0],[3.0-15.0],[1.0-38.0],[2.0-12.0],[2.0-14.0],[1.0-10.0],[3.0-10.0],[5.0-8.0],[1.0-10.0],[3.0-11.0],[3.0-23.0],[1.0-5.0],[2.0-8.0],[3.0-3.0],[2.0-9.0],[2.0-9.0],[5.0-8.0],[1.0-5.0],[1.0-5.0],[4.0-14.0],[4.0-12.0],[3.0-10.0],[2.0-6.0],[1.0-6.0],[3.0-9.0],[1.0-8.0],[0.0-16.0],[1.0-8.0],[5.0-6.0],[1.0-10.0],[3.0-5.0],[3.0-6.0],[1.0-11.0],[1.0-8.0],[1.0-4.0],[3.0-4.0],[5.0-9.0],[3.0-30.0],[2.0-7.0],[3.0-7.0],[3.0-11.0],[5.0-12.0],[0.0-13.0],[5.0-9.0],[3.0-8.0],[4.0-9.0],[3.0-9.0],[1.0-9.0],[3.0-7.0],[3.0-8.0],[0.0-8.0],[3.0-7.0],[4.0-14.0],[4.0-13.0],[4.0-10.0],[3.0-9.0],[8.0-11.0],[5.0-14.0],[8.0-12.0],[8.0-10.0],[4.0-14.0],[3.0-16.0],[4.0-15.0],[8.0-14.0],[0.0-14.0],[4.0-14.0],[2.0-13.0],[6.0-15.0],[5.0-15.0],[1.0-13.0],[4.0-9.0],[2.0-6.0],bbbbc,Group 1
春申君_zh.wikipedia.org_all-access_spider,[7.0-15.0],[4.0-11.0],[3.0-11.0],[2.0-21.0],[5.0-11.0],[2.0-8.0],[5.0-17.0],[8.0-64.0],[3.0-14.0],[4.0-11.0],[0.0-8.0],[4.0-14.0],[5.0-24.0],[8.0-17.0],[4.0-22.0],[5.0-16.0],[4.0-10.0],[1.0-14.0],[4.0-9.0],[1.0-18.0],[6.0-12.0],[10.0-19.0],[6.0-15.0],[2.0-6.0],[2.0-15.0],[1.0-5.0],[1.0-8.0],[1.0-18.0],[3.0-15.0],[1.0-38.0],[2.0-12.0],[2.0-14.0],[1.0-10.0],[3.0-10.0],[5.0-8.0],[1.0-10.0],[3.0-11.0],[3.0-23.0],[1.0-5.0],[2.0-8.0],[3.0-3.0],[2.0-9.0],[2.0-9.0],[5.0-8.0],[1.0-5.0],[1.0-5.0],[4.0-14.0],[4.0-12.0],[3.0-10.0],[2.0-6.0],[1.0-6.0],[3.0-9.0],[1.0-8.0],[0.0-16.0],[1.0-8.0],[5.0-6.0],[1.0-10.0],[3.0-5.0],[3.0-6.0],[1.0-11.0],[1.0-8.0],[1.0-4.0],[3.0-4.0],[5.0-9.0],[3.0-30.0],[2.0-7.0],[3.0-7.0],[3.0-11.0],[5.0-12.0],[0.0-13.0],[5.0-9.0],[3.0-8.0],[4.0-9.0],[3.0-9.0],[1.0-9.0],[3.0-7.0],[3.0-8.0],[0.0-8.0],[3.0-7.0],[4.0-14.0],[4.0-13.0],[4.0-10.0],[3.0-9.0],[8.0-11.0],[5.0-14.0],[8.0-12.0],[8.0-10.0],[4.0-14.0],[3.0-16.0],[4.0-15.0],[8.0-14.0],[0.0-14.0],[4.0-14.0],[2.0-13.0],[6.0-15.0],[5.0-15.0],[1.0-13.0],[4.0-9.0],[2.0-6.0],bbbbc,Group 1
CLC_zh.wikipedia.org_all-access_spider,[1.0-19.0],[2.0-27.0],[0.0-18.0],[1.0-52.0],[2.0-14.0],[3.0-12.0],[2.0-12.0],[3.0-11.0],[5.0-22.0],[0.0-28.0],[0.0-19.0],[0.0-7.0],[4.0-30.0],[8.0-18.0],[4.0-45.0],[2.0-16.0],[2.0-62.0],[6.0-13.0],[4.0-27.0],[1.0-23.0],[4.0-22.0],[3.0-40.0],[3.0-12.0],[4.0-13.0],[1.0-25.0],[0.0-119.0],[2.0-22.0],[3.0-9.0],[6.0-15.0],[2.0-6.0],[0.0-8.0],[2.0-10.0],[3.0-69.0],[1.0-11.0],[2.0-8.0],[4.0-16.0],[3.0-80.0],[1.0-13.0],[1.0-8.0],[5.0-10.0],[0.0-13.0],[2.0-8.0],[3.0-22.0],[3.0-30.0],[3.0-14.0],[1.0-42.0],[3.0-84.0],[3.0-24.0],[2.0-9.0],[2.0-9.0],[2.0-14.0],[2.0-21.0],[1.0-27.0],[4.0-15.0],[0.0-13.0],[0.0-11.0],[2.0-7.0],[1.0-8.0],[3.0-24.0],[4.0-7.0],[3.0-16.0],[2.0-22.0],[2.0-28.0],[3.0-12.0],[4.0-13.0],[4.0-12.0],[1.0-13.0],[3.0-10.0],[4.0-12.0],[0.0-9.0],[2.0-10.0],[1.0-5.0],[3.0-8.0],[2.0-7.0],[1.0-19.0],[1.0-6.0],[1.0-6.0],[3.0-11.0],[4.0-14.0],[3.0-14.0],[3.0-86.0],[2.0-72.0],[4.0-86.0],[3.0-41.0],[7.0-29.0],[2.0-61.0],[6.0-78.0],[4.0-71.0],[3.0-79.0],[3.0-11.0],[3.0-61.0],[5.0-16.0],[2.0-41.0],[2.0-77.0],[4.0-67.0],[3.0-85.0],[5.0-42.0],[1.0-80.0],[3.0-30.0],aaaaa,Group 2
黄岩岛_zh.wikipedia.org_all-access_spider,[1.0-19.0],[2.0-27.0],[0.0-18.0],[1.0-52.0],[2.0-14.0],[3.0-12.0],[2.0-12.0],[3.0-11.0],[5.0-22.0],[0.0-28.0],[0.0-19.0],[0.0-7.0],[4.0-30.0],[8.0-18.0],[4.0-45.0],[2.0-16.0],[2.0-62.0],[6.0-13.0],[4.0-27.0],[1.0-23.0],[4.0-22.0],[3.0-40.0],[3.0-12.0],[4.0-13.0],[1.0-25.0],[0.0-119.0],[2.0-22.0],[3.0-9.0],[6.0-15.0],[2.0-6.0],[0.0-8.0],[2.0-10.0],[3.0-69.0],[1.0-11.0],[2.0-8.0],[4.0-16.0],[3.0-80.0],[1.0-13.0],[1.0-8.0],[5.0-10.0],[0.0-13.0],[2.0-8.0],[3.0-22.0],[3.0-30.0],[3.0-14.0],[1.0-42.0],[3.0-84.0],[3.0-24.0],[2.0-9.0],[2.0-9.0],[2.0-14.0],[2.0-21.0],[1.0-27.0],[4.0-15.0],[0.0-13.0],[0.0-11.0],[2.0-7.0],[1.0-8.0],[3.0-24.0],[4.0-7.0],[3.0-16.0],[2.0-22.0],[2.0-28.0],[3.0-12.0],[4.0-13.0],[4.0-12.0],[1.0-13.0],[3.0-10.0],[4.0-12.0],[0.0-9.0],[2.0-10.0],[1.0-5.0],[3.0-8.0],[2.0-7.0],[1.0-19.0],[1.0-6.0],[1.0-6.0],[3.0-11.0],[4.0-14.0],[3.0-14.0],[3.0-86.0],[2.0-72.0],[4.0-86.0],[3.0-41.0],[7.0-29.0],[2.0-61.0],[6.0-78.0],[4.0-71.0],[3.0-79.0],[3.0-11.0],[3.0-61.0],[5.0-16.0],[2.0-41.0],[2.0-77.0],[4.0-67.0],[3.0-85.0],[5.0-42.0],[1.0-80.0],[3.0-30.0],aaaaa,Group 2
